"Year","Location","No.","Dates","Attendance","Theme","Plenary","Program","Awards","Reports"
"2015","Baltimore, MD","100","Aug 9-14, 2015","4664","Ecological Science at the Frontier: Celebrating the ESA Centennial","","","",""
"2014","Sacramento, CA","99","Aug 10-15, 2014","3629","From Oceans to Mountains: It's All Ecology","","","",""
"2013","Minneapolis, MN","98","Aug 4-9, 2013","3363","Sustainable Pathways: Learning from the past and shaping the future","","","",""
"2012","Portland, OR","97","Aug 5-10, 2012","4992","Life on Earth: Preserving, Utilizing, and Sustaining our Ecosystems","Plenary","Program","Awards","Reports"
"2011","Austin, TX","96","Aug 7-12, 2011","3721","Earth Stewardship: Preserving and enhancing the earth's life-support systems","Plenary","Program","Awards","Reports"
"2010","Pittsburgh, PA","95","Aug 1-6, 2010","3525","Global Warming: The legacy of our past, the challenge for our future","Plenary","Program","Awards","Reports"
"2009","Albuquerque, NM","94","Aug 2-7, 2009","3648","Ecological Knowledge and a Global Sustainable Society","Plenary","Program","Awards","Reports"
"2008","Milwaukee, WI","93","Aug 3-8, 2008","3354","Enhancing Ecological Thought by Linking Research and Education","Plenary","Program","Awards","Reports"
"2007","San Jose, CA","92","Aug 5-10, 2007","4185","Ecology-based restoration in a changing world","Plenary","Program","Awards","Reports"
"2006","Memphis, TN","91","Aug 6-11, 2006","2838","Icons and Upstarts in Ecology","Plenary","Program","Awards","Reports"
"2005","Montreal, Canada","90","Aug 7-12, 2005","4359","Ecology at multiple scales","Plenary","Program","Awards","Reports"
"2004","Portland, OR","89","Aug 1-6, 2004","","Lessons of Lewis &amp; Clark: Ecological Exploration of Inhabited Landscapes","Plenary","Program","Awards","Reports"
"2003","Savannah, GA","88","Aug 3-8, 2003","2718","Uplands to Lowlands: Coastal processes in a time of global change","Plenary","Program","Awards","Reports"
"2002","Tucson, AZ","87","Aug 23-25, 2002","3756","A Convocation: Understanding and Restoring Ecosystems","Plenary","Program","Awards","Reports"
"2001","Madison, WI","86","Aug 6-10, 2001","3010","Keeping All the Parts: Preserving, Restoring, and Sustaining Complex Ecosystems","Plenary","Program","Awards","Reports"
"2000","Snowbird, UT","85","Aug 6-10, 2000","2664","Communicating and Advancing Ecology","Plenary","Program","Awards","Reports"
"1999","Spokane, WA","84","Aug 8-12, 1999","2985","Legacies, Landscapes, and Limits: Bridging Borders","","","",""
"1998","Baltimore, MD","83","Aug 2-6, 1998","3060","Ecological Exchanges between Major Ecosystems","","","",""
"1997","Albuquerque, NM","82","Aug 10-14, 1997","3106","Changing Ecosystems: Natural and Human Influences","","","",""
"1996","Providence, RI","81","Aug 10-14, 1996","2900","Ecologists/Biologists as Problem-solvers","","","",""
"1995","Snowbird, UT","80","July 30-Aug 3, 1995","2500","The Transdisciplinary Nature of Ecology","","","",""
"1994","Knoxville, TN","79","Aug 7-11, 1994","","Science and Public Policy","","","",""
"1993","Madison, WI","78","July 31-Aug 4, 1993","","Ecology and Global Sustainability","","","",""
"1992","Honolulu, HI","77","Aug 8-13, 1992","","Voyagers","","","",""
"1991","San Antonio, TX","76","Aug 3-8, 1991","","Education: The Future of Biology","","","",""
"1990","Snowbird, UT","75","July 29-Aug 1990","","Perspectives in Ecology: Past, Present, and Future","","","",""
"1989","Toronto, Canada","74","Aug 6-10, 1989","","Global Change","","","",""
"1988","Davis, CA","73","Aug 14-19, 1988","","Biological Diversity","","","",""
"1987","Columbus, OH","72","Aug 9-13, 1987","","","","","",""
"1986","Syracuse, NY","71","Aug 10-16, 1986","","","","","",""
"1985","Minneapolis, MN","70","June 17-21, 1985","","Conceptual Developments in Ecology","","","",""
"1984","Fort Collins, CO","69","Aug 5-9, 1984","","","","","",""
"1983","Fargo, ND","68","Aug 7-11, 1983","","","","","",""
"1982","University Park, PA","67","Aug 8-12, 1982","","","","","",""
"1981","Bloomington, IN","66","Aug 16-20, 1981","","","","","",""
"1980","Tucson, AZ","65","Aug 3-7 1980","","","","","",""
"1979","Stillwater, OK","64","Aug 12-17, 1979","","Mid-American Grasslands--Prairie to Dustbowl to Present","","","",""
"1978","Athens, GA","63","Aug 20-24,1978","","Nature of the Southeast in Transition","","","",""
"1977","East Lansing, MI","62","Aug 21-25, 1977","","","","","",""
"1976","New Orleans, LA","61","May 30-June 3, 1976","","","","","",""
"1975","Corvallis, OR","60","Aug 17-22, 1975","","","","","",""
"1974","Tempe, AZ","59","June 16-21, 1974","","","","","",""
"1973","University of Massachusetts","58","June 17-22, 1973","","","","","",""
"1972","University of Minnesota","57","Aug 26- Sept. 1, 1972","","","","","",""
"1971","Colorado State University","56","Aug 28-Sept. 3, 1971","","","","","",""
"1970","University of Vermont&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","55","Aug 23-25, 1970","","","","","",""
"1969","University of Wisconsin&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","54","Aug 17-19, 1969","","","","","",""
"1968","Columbus, OH","53","June 16-18, 1968","","","","","",""
"1967","College Station, TX","52","Aug 27-29, 1967","","","","","",""
"1966","University of Maryland","51","Aug 14-17, 1966","","","","","",""
"1965","University of Illinois","50","Aug 15-17, 1965","","","","","",""
"1964","University of Colorado","49","Aug 23-28, 1964","","","","","",""
"1963","University of Massachusetts&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","48","Aug 27-31, 1963","","","","","",""
"1962","Corvallis, OR","47","Aug 27-31, 1962","","","","","",""
"1961","Purdue University","46","Aug 28 – Sept 1, 1961","","","","","",""
"1960","Stillwater, OK","45","Aug 28 – Sept 1, 1960","","","","","",""
"1959","University Park, PA","44","Aug 31 – Sept 4, 1959","","","","","",""
"1958","University of Indiana","43","Aug 25-28, 1958","","","","","",""
"1957","Stanford University","42","Aug 25-29, 1957","","","","","",""
"1956","University of Connecticut","41","Aug 27-29, 1956","","","","","",""
"1955","Michigan State University","40","Sept 5-8, 1955","","","","","",""
"1954","University of Florida","39","Sept 5-9, 1954","","","","","",""
"1953","University of Wisconsin","38","Sept 6-9, 1953","","","","","",""
"1952","Ithaca, NY","37","Sept 9-12, 1952","","","","","",""
"1951","University of Minnesota","36","Sept 10-13, 1951","","","","","",""
"1950","Ohio State University","35","Sept 11-13, 1950","","","","","",""
"1949","New York, NY","34","Dec 27-30, 1949","","","","","",""
"1948","University of Maryland","33","Sept 10-12, 1948","","","","","",""
"1947","Chicago, IL","32","Dec 29-31, 1947","","","","","",""
"1946","Boston, MA","31","Dec 27-30, 1946","","","","","",""
"1945","St. Louis, MO","30","March 27-30, 1946","","","","","",""
"1944","Cleveland, OH","29","Sept 11-14, 1944","","","","","",""
"1943","","28","Canceled","","Business done by mail","","","",""
"1942","New York, NY","27","Canceled","","Business done by mail","","","",""
"1941","Dallas, TX","26","Dec 29-31, 1941","","","","","",""
"1940","Philadelphia, PA","25","Dec 27-30, 1940","","","","","",""
"1939","Columbus, OH","24","Dec 27-29, 1939","","","","","",""
"1938","Richmond, VA","23","Dec 27-29, 1938","","","","","",""
"1937","Indianapolis, IN","22","Dec 28-30, 1937","","","","","",""
"1936","Atlantic City, NJ","21","Dec 29, 1936-Jan 1, 1937","","","","","",""
"1935","St. Louis, MO","20","Dec 31, 1935-Jan 2, 1936","","","","","",""
"1934","Pittsburgh, PA","19","Dec 27-28, 1934","","","","","",""
"1933","Boston, MA","18","29-Dec-33","","","","","",""
"1932","Atlantic City, NJ","17","Dec 28-29, 1932","","","","","",""
"1931","New Orleans, LA","16","29-Dec-31","","","","","",""
"1930","Cleveland, OH","15","Dec 31, 1930 – Jan 1, 1931","","","","","",""
"1929","Des Moines, IA","14","Dec 31, 1929 – Jan 1, 1930","","","","","",""
"1928","New York, NY","13","Dec 28-29, 1928","","","","","",""
"1927","Nashville, TN","12","28-Dec-27","","","","","",""
"1926","Philadelphia, PA","11","28-Dec-26","","","","","",""
"1925","Kansas City, MO","10","29-Dec-25","","","","","",""
"1924","Washington, DC","9","29-Dec-24","","","Program at Jstor","","",""
"1923","Cincinnati, OH","8","29-Dec-23","","","Program at Jstor","","",""
"1922","Boston, MA","7","28-Dec-22","","","Program at Jstor","","",""
"1921","Toronto, Canada","6","28-Dec-21","","","","","",""
"1920","Chicago, IL","5","28-Dec-20","","","","","",""
"1919","St. Louis, MO","4","Dec 30, 1919 – Jan 1, 1920","","","","","",""
"1918","Baltimore, OH","3","Dec 26-28, 1918","","","Program at Jstor","Minutes at Jstor","",""
"1917","Pittsburgh, PA","2","Dec 28, 1916- Jan 1, 1917","","","","Minutes at Jstor","",""
"1916","New York, NY","1","Dec 27-29, 1916","","","","","",""
"1915","Columbus, OH","","December 28, 1915","","Organizational meeting","","","",""